City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Gradinari,RO,44.3922,25.8156,61.9,55,95,3.09,overcast clouds
227,Mehnagar,IN,25.8833,83.1167,80.65,82,95,5.08,overcast clouds
228,Nipawin,CA,53.3668,-104.0009,55.44,54,20,17.27,few clouds
229,Flin Flon,CA,54.7682,-101.865,51.64,66,90,17.27,overcast clouds
230,Dinar,TR,38.065,30.1656,53.38,41,0,2.19,clear sky
231,Mersin,TR,36.862,34.6509,65.55,44,1,3.47,clear sky
232,Broome,US,42.2506,-75.833,68.22,60,20,1.99,few clouds
233,Kaitangata,NZ,-46.2817,169.8464,53.87,59,6,13.44,clear sky
234,Wanning,CN,18.8003,110.3967,78.84,88,100,5.21,overcast clouds
235,Mangrol,IN,21.1167,70.1167,79.65,85,30,7.29,scattered clouds
236,Waldoboro,US,44.0954,-69.3756,73.89,88,100,12.77,overcast clouds
237,Gorontalo,ID,0.5412,123.0595,74.52,95,93,1.86,overcast clouds
238,Lasa,IT,46.6166,10.7002,58.08,67,0,1.45,clear sky
239,Ust-Tsilma,RU,65.441,52.1498,40.53,89,88,6.51,overcast clouds
240,Chihuahua,MX,28.5,-106.0,78.24,42,63,5.28,broken clouds
241,Sokolka,PL,53.4072,23.5023,48.65,87,100,11.74,overcast clouds
242,Vredendal,ZA,-31.6683,18.5012,57.67,81,87,5.99,overcast clouds
243,Auki,SB,-8.7676,160.7034,78.04,85,47,4.36,scattered clouds
244,Husavik,IS,66.0449,-17.3389,37.31,74,96,6.71,overcast clouds
245,Lucea,JM,18.451,-78.1736,85.86,73,45,2.06,scattered clouds
246,Baruun-Urt,MN,46.6806,113.2792,49.91,94,25,7.29,scattered clouds
247,Kismayo,SO,-0.3582,42.5454,77.04,82,89,16.53,overcast clouds
248,Sweetwater,US,25.7634,-80.3731,89.02,81,75,6.91,light rain
249,Halifax,CA,44.6453,-63.5724,73.29,83,40,4.0,fog
250,Usogorsk,RU,63.4106,48.6872,47.14,89,100,8.72,overcast clouds
251,Tasiilaq,GL,65.6145,-37.6368,37.56,88,93,4.7,overcast clouds
252,Santa Cruz,BO,-17.8,-63.1667,90.86,27,0,13.8,clear sky
253,Villarrica,PY,-25.75,-56.4333,79.9,31,0,8.68,clear sky
254,Moana,ES,42.2833,-8.75,65.08,85,40,1.14,fog
255,Omsukchan,RU,62.5333,155.8,34.38,79,46,1.97,scattered clouds
256,Moses Lake,US,47.1301,-119.2781,74.88,28,1,0.0,clear sky
257,Puerto Madryn,AR,-42.7692,-65.0385,75.85,26,11,25.37,few clouds
258,Narsaq,GL,60.9167,-46.05,39.42,47,1,6.93,clear sky
259,Ucluelet,CA,48.9329,-125.5528,70.09,80,100,1.01,overcast clouds
260,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,1.14,broken clouds
261,Manoel Urbano,BR,-8.8389,-69.2597,96.66,32,78,2.86,broken clouds
262,Bilma,NE,18.6853,12.9164,89.22,11,4,6.62,clear sky
263,La Palma,US,33.8464,-118.0467,96.04,65,20,3.0,haze
264,Quatre Cocos,MU,-20.2078,57.7625,71.71,79,6,15.26,clear sky
265,Katsina,NG,12.9894,7.6006,83.71,39,31,3.71,scattered clouds
266,Ballina,AU,-28.8667,153.5667,50.18,100,0,0.0,clear sky
267,Norman Wells,CA,65.282,-126.8329,37.44,87,90,10.36,overcast clouds
268,Itarema,BR,-2.9248,-39.9167,81.64,70,78,17.78,broken clouds
269,Strezhevoy,RU,60.7333,77.5889,35.58,94,87,7.96,overcast clouds
270,Sobolevo,RU,54.4299,31.8996,42.94,97,50,4.14,scattered clouds
271,Horsham,GB,51.064,-0.3272,68.94,85,0,5.75,clear sky
272,Okakarara,NA,-20.5833,17.4333,72.37,17,0,6.93,clear sky
273,Saint George,US,37.1041,-113.5841,93.67,15,1,3.0,clear sky
274,Chumikan,RU,54.7183,135.315,47.75,74,6,15.97,clear sky
275,Calvinia,ZA,-31.4707,19.776,59.9,32,74,2.13,broken clouds
276,Kautokeino,NO,69.0125,23.0412,41.74,97,100,8.97,overcast clouds
277,Mrakovo,RU,52.7161,56.6244,52.57,33,100,15.28,light rain
278,Lazdijai,LT,54.2333,23.5167,49.1,81,100,11.41,overcast clouds
279,Gornopravdinsk,RU,60.05,69.9,39.34,81,99,3.42,overcast clouds
280,Yashkino,RU,55.8736,85.4265,35.37,98,100,10.29,light rain
281,Namatanai,PG,-3.6667,152.4333,78.35,81,72,5.19,broken clouds
282,Sochi,RU,43.6,39.7303,59.09,73,97,9.13,light rain
283,Saint Anthony,US,45.0205,-93.218,58.1,87,1,1.01,clear sky
284,Belmonte,BR,-15.8631,-38.8828,77.0,61,55,8.97,broken clouds
285,Abbeville,FR,50.1,1.8333,62.56,96,47,4.81,scattered clouds
286,Bailieborough,IE,53.9167,-6.9667,63.43,97,100,9.4,overcast clouds
287,Port Hardy,CA,50.6996,-127.4199,53.78,87,20,4.61,few clouds
288,Ushtobe,KZ,45.2514,77.9838,44.33,32,0,16.49,clear sky
289,Mabaruma,GY,8.2,-59.7833,84.45,74,100,7.11,overcast clouds
290,Kruisfontein,ZA,-34.0033,24.7314,53.89,91,48,2.59,scattered clouds
291,Gigmoto,PH,13.7796,124.39,80.8,86,56,7.45,broken clouds
292,Kaseda,JP,31.4167,130.3167,71.19,76,1,7.74,clear sky
293,Valle De Allende,MX,26.9333,-105.4,81.57,35,9,1.34,clear sky
294,Carnarvon,AU,-24.8667,113.6333,66.27,82,40,13.8,scattered clouds
295,Sechura,PE,-5.5569,-80.8222,74.03,62,27,14.34,scattered clouds
296,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,12.66,scattered clouds
297,Bomet,KE,-0.7813,35.3416,55.98,95,96,2.75,overcast clouds
298,Coihaique,CL,-45.5752,-72.0662,64.35,45,40,5.84,scattered clouds
299,Meylan,FR,45.2199,5.7901,69.51,80,30,3.42,scattered clouds
300,Vila Velha,BR,-20.3297,-40.2925,75.96,56,20,11.5,few clouds
301,Luwingu,ZM,-10.2621,29.9271,72.52,33,63,8.3,broken clouds
302,Mayaguez,PR,18.2011,-67.1396,90.81,66,23,5.01,few clouds
303,Menongue,AO,-14.6585,17.691,68.97,18,5,5.59,clear sky
304,Georgetown,MY,5.4112,100.3354,81.9,87,20,5.01,few clouds
305,Benavente,ES,42.0025,-5.6783,66.88,58,67,7.78,broken clouds
306,Port Hedland,AU,-20.3167,118.5667,62.65,100,44,0.0,scattered clouds
307,Neuquen,AR,-38.9516,-68.0591,85.89,19,0,17.27,clear sky
308,Tiarei,PF,-17.5333,-149.3333,80.62,60,0,5.88,clear sky
309,Gurjaani,GE,41.7429,45.8011,55.56,92,100,3.04,overcast clouds
310,Nyurba,RU,63.2842,118.3319,32.59,87,17,1.36,few clouds
311,Agadir,MA,30.4202,-9.5982,72.05,70,0,3.06,clear sky
312,Fort-Shevchenko,KZ,44.5086,50.263,61.07,77,94,21.77,overcast clouds
313,Port Alfred,ZA,-33.5906,26.891,59.74,83,67,2.89,broken clouds
314,Coquimbo,CL,-29.9533,-71.3436,56.93,82,90,13.8,overcast clouds
315,Urengoy,RU,65.9667,78.3667,30.99,87,8,9.04,clear sky
316,Puerto Narino,CO,-3.7703,-70.3831,89.55,49,70,4.05,broken clouds
317,Ozernovskiy,RU,51.5,156.5167,48.54,85,100,13.65,moderate rain
318,Leningradskiy,RU,69.3833,178.4167,24.01,87,100,10.25,overcast clouds
319,Lixourion,GR,38.2019,20.4314,69.8,64,0,0.0,clear sky
320,Bara,NG,10.3744,10.7288,76.37,77,39,5.21,scattered clouds
321,Meadow Lake,US,34.8014,-106.5436,83.82,21,38,6.49,scattered clouds
322,Fortuna,US,40.5982,-124.1573,85.42,50,1,1.99,clear sky
323,Cabo San Lucas,MX,22.8909,-109.9124,95.61,69,9,6.31,clear sky
324,Ler,SS,8.3018,30.1418,71.67,96,100,3.24,light rain
325,Kostino,RU,58.9097,53.2691,43.03,93,100,7.9,overcast clouds
326,Banda Aceh,ID,5.5577,95.3222,79.48,82,19,10.49,few clouds
327,Valera,VE,9.3178,-70.6036,82.2,76,90,1.19,overcast clouds
328,Batagay,RU,67.6333,134.6333,37.69,74,100,4.38,overcast clouds
329,Corning,US,42.1428,-77.0547,69.35,51,75,6.91,broken clouds
330,Saldanha,ZA,-33.0117,17.9442,57.25,87,83,5.37,broken clouds
331,Aksarka,RU,66.5606,67.7975,34.61,82,19,2.8,few clouds
332,Chicama,PE,-7.8447,-79.1469,61.34,61,21,10.58,few clouds
333,Lazaro Cardenas,MX,17.9583,-102.2,84.87,75,80,7.76,broken clouds
334,Glace Bay,CA,46.1969,-59.957,71.82,90,40,3.0,scattered clouds
335,Ulladulla,AU,-35.35,150.4667,56.3,78,18,7.38,few clouds
336,Adrar,MR,20.5022,-10.0711,94.14,17,65,7.85,broken clouds
337,Inuvik,CA,68.3499,-133.7218,34.81,80,90,13.8,light snow
338,Arauco,CL,-37.2463,-73.3175,59.02,55,18,5.55,few clouds
339,Sidney,AU,-33.8679,151.2073,60.3,67,0,1.01,clear sky
340,Soubre,CI,5.7856,-6.6083,73.96,96,69,2.95,light rain
341,Puerto Penasco,MX,31.3167,-113.5333,84.9,64,97,5.99,overcast clouds
342,North Platte,US,41.1239,-100.7654,70.0,46,40,12.66,scattered clouds
343,Nemuro,JP,43.3236,145.575,52.84,79,3,13.09,clear sky
344,Fuerte Olimpo,PY,-21.0415,-57.8738,96.33,23,61,5.86,broken clouds
345,Pustoshka,RU,56.3355,29.369,44.35,98,100,1.12,overcast clouds
346,Sindor,RU,62.8629,51.8905,47.73,77,100,8.1,overcast clouds
347,Bonito,BR,-21.1211,-56.4819,96.26,22,63,7.14,broken clouds
