City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Acapulco,MX,85.68,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
217,Hobyo,SO,78.04,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
224,Yenagoa,NG,75.61,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
227,Mehnagar,IN,80.65,overcast clouds,25.8833,83.1167,Shiv kripa sweets
234,Wanning,CN,78.84,overcast clouds,18.8003,110.3967,Paradise Hotel
235,Mangrol,IN,79.65,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
240,Chihuahua,MX,78.24,broken clouds,28.5,-106.0,
243,Auki,SB,78.04,scattered clouds,-8.7676,160.7034,Auki Motel
245,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
247,Kismayo,SO,77.04,overcast clouds,-0.3582,42.5454,Agan-Hotel
248,Sweetwater,US,89.02,light rain,25.7634,-80.3731,Li'l Abner Mobile Home Park
253,Villarrica,PY,79.9,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
257,Puerto Madryn,AR,75.85,few clouds,-42.7692,-65.0385,Hotel Tolosa
262,Bilma,NE,89.22,clear sky,18.6853,12.9164,Expeditions Ténére voyages
265,Katsina,NG,83.71,scattered clouds,12.9894,7.6006,Katsina Motel
268,Itarema,BR,81.64,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
281,Namatanai,PG,78.35,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
284,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
289,Mabaruma,GY,84.45,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
291,Gigmoto,PH,80.8,broken clouds,13.7796,124.39,Cj's Travellers Inn
293,Valle De Allende,MX,81.57,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
